agency_cd	site_no	parameter_cd	dd_nu	year_nu	month_nu	mean_va
USGS	14064500	00060	5	1962	4	1271
USGS	14064500	00060	5	1962	5	1710
USGS	14064500	00060	5	1962	6	2301
USGS	14064500	00060	5	1962	7	2529
USGS	14064500	00060	5	1962	8	2279
USGS	14064500	00060	5	1962	9	1894
USGS	14064500	00060	5	1962	10	932.4
USGS	14064500	00060	5	1962	11	658.1
USGS	14064500	00060	5	1962	12	697.3
USGS	14064500	00060	5	1963	1	583.3
USGS	14064500	00060	5	1963	2	875.2
USGS	14064500	00060	5	1963	3	735.0
USGS	14064500	00060	5	1963	4	1153
USGS	14064500	00060	5	1963	5	1816
USGS	14064500	00060	5	1963	6	2395
USGS	14064500	00060	5	1963	7	2379
USGS	14064500	00060	5	1963	8	2306
USGS	14064500	00060	5	1963	9	1805
USGS	14064500	00060	5	1963	10	1001
USGS	14064500	00060	5	1963	11	649.1
USGS	14064500	00060	5	1963	12	594.0
USGS	14064500	00060	5	1964	1	591.5
USGS	14064500	00060	5	1964	2	590.1
USGS	14064500	00060	5	1964	3	612.2
USGS	14064500	00060	5	1964	4	1360
USGS	14064500	00060	5	1964	5	1960
USGS	14064500	00060	5	1964	6	2055
USGS	14064500	00060	5	1964	7	2429
USGS	14064500	00060	5	1964	8	2254
USGS	14064500	00060	5	1964	9	1765
USGS	14064500	00060	5	1964	10	1044
USGS	14064500	00060	5	1964	11	583.1
USGS	14064500	00060	5	1964	12	1166
USGS	14064500	00060	5	1965	1	1083
USGS	14064500	00060	5	1965	2	1073
USGS	14064500	00060	5	1965	3	1125
USGS	14064500	00060	5	1965	4	1602
USGS	14064500	00060	5	1965	5	2083
USGS	14064500	00060	5	1965	6	2181
USGS	14064500	00060	5	1965	7	2420
USGS	14064500	00060	5	1965	8	2198
USGS	14064500	00060	5	1965	9	1891
USGS	14064500	00060	5	1965	10	1275
USGS	14064500	00060	5	1965	11	868.1
USGS	14064500	00060	5	1965	12	857.2
USGS	14064500	00060	5	1966	1	1259
USGS	14064500	00060	5	1966	2	1213
USGS	14064500	00060	5	1966	3	1105
USGS	14064500	00060	5	1966	4	1684
USGS	14064500	00060	5	1966	5	2176
USGS	14064500	00060	5	1966	6	2195
USGS	14064500	00060	5	1966	7	2211
USGS	14064500	00060	5	1966	8	2373
USGS	14064500	00060	5	1966	9	1856
USGS	14064500	00060	5	1966	10	1113
USGS	14064500	00060	5	1966	11	656.7
USGS	14064500	00060	5	1966	12	653.0
USGS	14064500	00060	5	1967	1	620.0
